filename,fault_detected,fault_category
Bearing (1) Ball & Bearing (2) Outer Trial 20.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 21.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 22.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 23.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 24.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 25.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 3.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 4.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 5.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 6.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 7.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 8.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 9.csv,1,3
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 1.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 10.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 11.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 12.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 13.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 14.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 15.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 16.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 17.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 18.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 19.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 2.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 20.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 21.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 22.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 23.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 24.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 25.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 3.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 4.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 5.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 6.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 7.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 8.csv,1,4
Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 9.csv,1,4
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 1.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 10.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 11.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 12.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 13.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 14.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 15.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 16.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 17.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 18.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 19.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 2.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 20.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 21.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 22.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 23.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 24.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 25.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 3.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 4.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 5.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 6.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 7.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 8.csv,1,5
Bearing (1) Ball & Shaft Fault (Coupling End bent) Trial 9.csv,1,5
Bearing (1) Combination & Bearing (2) Ball Trial 1.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 10.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 11.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 12.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 13.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 14.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 15.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 16.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 17.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 18.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 19.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 2.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 20.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 21.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 22.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 23.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 24.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 25.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 3.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 4.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 5.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 6.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 7.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 8.csv,1,6
Bearing (1) Combination & Bearing (2) Ball Trial 9.csv,1,6
Bearing (1) Combination & Bearing (2) Inner Trial 1.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 10.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 11.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 12.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 13.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 14.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 15.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 16.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 17.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 18.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 19.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 2.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 20.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 21.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 22.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 23.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 24.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 25.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 3.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 4.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 5.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 6.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 7.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 8.csv,1,7
Bearing (1) Combination & Bearing (2) Inner Trial 9.csv,1,7
Bearing (1) Combination & Bearing (2) Outer Trial 1.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 10.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 11.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 12.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 13.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 14.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 15.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 16.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 17.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 18.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 19.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 2.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 20.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 21.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 22.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 23.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 24.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 25.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 3.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 4.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 5.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 6.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 7.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 8.csv,1,8
Bearing (1) Combination & Bearing (2) Outer Trial 9.csv,1,8
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 1.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 10.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 11.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 12.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 13.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 14.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 15.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 16.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 17.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 18.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 19.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 2.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 20.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 21.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 22.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 23.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 24.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 25.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 3.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 4.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 5.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 6.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 7.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 8.csv,1,9
Bearing (1) Combination & Shaft Fault (Centerally bent) Trial 9.csv,1,9
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 1.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 10.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 11.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 12.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 13.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 14.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 15.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 16.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 17.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 18.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 19.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 2.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 20.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 21.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 22.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 23.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 24.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 25.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 3.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 4.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 5.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 6.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 7.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 8.csv,1,10
Bearing (1) Combination & Shaft Fault (Coupling End bent) Trial 9.csv,1,10
Bearing (1) Fault (ball) Trial 1.csv,1,11
Bearing (1) Fault (ball) Trial 10.csv,1,11
Bearing (1) Fault (ball) Trial 11.csv,1,11
Bearing (1) Fault (ball) Trial 12.csv,1,11
Bearing (1) Fault (ball) Trial 13.csv,1,11
Bearing (1) Fault (ball) Trial 14.csv,1,11
Bearing (1) Fault (ball) Trial 15.csv,1,11
Bearing (1) Fault (ball) Trial 16.csv,1,11
Bearing (1) Fault (ball) Trial 17.csv,1,11
Bearing (1) Fault (ball) Trial 18.csv,1,11
Bearing (1) Fault (ball) Trial 19.csv,1,11
Bearing (1) Fault (ball) Trial 2.csv,1,11
Bearing (1) Fault (ball) Trial 20.csv,1,11
Bearing (1) Fault (ball) Trial 21.csv,1,11
Bearing (1) Fault (ball) Trial 22.csv,1,11
Bearing (1) Fault (ball) Trial 23.csv,1,11
Bearing (1) Fault (ball) Trial 24.csv,1,11
Bearing (1) Fault (ball) Trial 25.csv,1,11
Bearing (1) Fault (ball) Trial 3.csv,1,11
Bearing (1) Fault (ball) Trial 4.csv,1,11
Bearing (1) Fault (ball) Trial 5.csv,1,11
Bearing (1) Fault (ball) Trial 6.csv,1,11
Bearing (1) Fault (ball) Trial 7.csv,1,11
Bearing (1) Fault (ball) Trial 8.csv,1,11
Bearing (1) Fault (ball) Trial 9.csv,1,11
Bearing (1) Fault (combination) Trial 1.csv,1,12
Bearing (1) Fault (combination) Trial 10.csv,1,12
Bearing (1) Fault (combination) Trial 11.csv,1,12
Bearing (1) Fault (combination) Trial 12.csv,1,12
Bearing (1) Fault (combination) Trial 13.csv,1,12
Bearing (1) Fault (combination) Trial 14.csv,1,12
Bearing (1) Fault (combination) Trial 15.csv,1,12
Bearing (1) Fault (combination) Trial 16.csv,1,12
Bearing (1) Fault (combination) Trial 17.csv,1,12
Bearing (1) Fault (combination) Trial 18.csv,1,12
Bearing (1) Fault (combination) Trial 19.csv,1,12
Bearing (1) Fault (combination) Trial 2.csv,1,12
Bearing (1) Fault (combination) Trial 20.csv,1,12
Bearing (1) Fault (combination) Trial 21.csv,1,12
Bearing (1) Fault (combination) Trial 22.csv,1,12
Bearing (1) Fault (combination) Trial 23.csv,1,12
Bearing (1) Fault (combination) Trial 24.csv,1,12
Bearing (1) Fault (combination) Trial 25.csv,1,12
Bearing (1) Fault (combination) Trial 3.csv,1,12
Bearing (1) Fault (combination) Trial 4.csv,1,12
Bearing (1) Fault (combination) Trial 5.csv,1,12
Bearing (1) Fault (combination) Trial 6.csv,1,12
Bearing (1) Fault (combination) Trial 7.csv,1,12
Bearing (1) Fault (combination) Trial 8.csv,1,12
Bearing (1) Fault (combination) Trial 9.csv,1,12
Bearing (1) Fault (inner race) Trial 1.csv,1,13
Bearing (1) Fault (inner race) Trial 10.csv,1,13
Bearing (1) Fault (inner race) Trial 11.csv,1,13
Bearing (1) Fault (inner race) Trial 12.csv,1,13
Bearing (1) Fault (inner race) Trial 13.csv,1,13
Bearing (1) Fault (inner race) Trial 14.csv,1,13
Bearing (1) Fault (inner race) Trial 15.csv,1,13
Bearing (1) Fault (inner race) Trial 16.csv,1,13
Bearing (1) Fault (inner race) Trial 17.csv,1,13
Bearing (1) Fault (inner race) Trial 18.csv,1,13
Bearing (1) Fault (inner race) Trial 19.csv,1,13
Bearing (1) Fault (inner race) Trial 2.csv,1,13
Bearing (1) Fault (inner race) Trial 20.csv,1,13
Bearing (1) Fault (inner race) Trial 21.csv,1,13
Bearing (1) Fault (inner race) Trial 22.csv,1,13
Bearing (1) Fault (inner race) Trial 23.csv,1,13
Bearing (1) Fault (inner race) Trial 24.csv,1,13
Bearing (1) Fault (inner race) Trial 25.csv,1,13
Bearing (1) Fault (inner race) Trial 3.csv,1,13
Bearing (1) Fault (inner race) Trial 4.csv,1,13
Bearing (1) Fault (inner race) Trial 5.csv,1,13
Bearing (1) Fault (inner race) Trial 6.csv,1,13
Bearing (1) Fault (inner race) Trial 7.csv,1,13
Bearing (1) Fault (inner race) Trial 8.csv,1,13
Bearing (1) Fault (inner race) Trial 9.csv,1,13
Bearing (1) Fault (outer race) Trial 1.csv,1,14
Bearing (1) Fault (outer race) Trial 10.csv,1,14
Bearing (1) Fault (outer race) Trial 11.csv,1,14
Bearing (1) Fault (outer race) Trial 12.csv,1,14
Bearing (1) Fault (outer race) Trial 13.csv,1,14
Bearing (1) Fault (outer race) Trial 14.csv,1,14
Bearing (1) Fault (outer race) Trial 15.csv,1,14
Bearing (1) Fault (outer race) Trial 16.csv,1,14
Bearing (1) Fault (outer race) Trial 17.csv,1,14
Bearing (1) Fault (outer race) Trial 18.csv,1,14
Bearing (1) Fault (outer race) Trial 19.csv,1,14
Bearing (1) Fault (outer race) Trial 2.csv,1,14
Bearing (1) Fault (outer race) Trial 20.csv,1,14
Bearing (1) Fault (outer race) Trial 21.csv,1,14
Bearing (1) Fault (outer race) Trial 22.csv,1,14
Bearing (1) Fault (outer race) Trial 23.csv,1,14
Bearing (1) Fault (outer race) Trial 24.csv,1,14
Bearing (1) Fault (outer race) Trial 25.csv,1,14
Bearing (1) Fault (outer race) Trial 3.csv,1,14
Bearing (1) Fault (outer race) Trial 4.csv,1,14
Bearing (1) Fault (outer race) Trial 5.csv,1,14
Bearing (1) Fault (outer race) Trial 6.csv,1,14
Bearing (1) Fault (outer race) Trial 7.csv,1,14
Bearing (1) Fault (outer race) Trial 8.csv,1,14
Bearing (1) Fault (outer race) Trial 9.csv,1,14
Bearing (1) Inner & Bearing (2) Ball Trial 1.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 10.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 11.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 12.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 13.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 14.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 15.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 16.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 17.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 18.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 19.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 2.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 20.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 21.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 22.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 23.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 24.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 25.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 3.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 4.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 5.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 6.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 7.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 8.csv,1,15
Bearing (1) Inner & Bearing (2) Ball Trial 9.csv,1,15
Bearing (1) Inner & Bearing (2) Combintion Trial 1.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 10.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 11.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 12.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 13.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 14.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 15.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 16.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 17.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 18.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 19.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 2.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 20.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 21.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 22.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 23.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 24.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 25.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 3.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 4.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 5.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 6.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 7.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 8.csv,1,16
Bearing (1) Inner & Bearing (2) Combintion Trial 9.csv,1,16
Bearing (1) Inner & Bearing (2) Outer Trial 1.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 10.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 11.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 12.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 13.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 14.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 15.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 16.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 17.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 18.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 19.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 2.csv,1,17
Bearing (1) Inner & Bearing (2) Outer Trial 20.csv,1,17
